id,title,answer
66,"Java - GUI - Random Characters in Different Sizes, Colors",['java.awt.GraphicsEnvironment.getAvailableFontFamilyNames']
67,Regex for floor in address,['java.lang.String.matches']
68,Handling time ranges in Java,['java.util.Date.compareTo']
69,How to send all byte into single array and later xor between the bytes?,['java.nio.ByteBuffer.put']
70,java.util.Calendar confusion,['java.util.Calendar.getInstance']
71,Problems with Java garbage collector and memory,['java.lang.Object.finalize']
72,Why we need to use Thread.sleep() instead Sleep() in Java?,['java.lang.Thread.sleep']
73,"Why has Java 8 no ""myArray.stream()"" function?",['java.util.Arrays.stream']
74,Java: Why doesn't JTable use TableCellEditor?,['javax.swing.JTable.setDefaultEditor']
75,Runtime exception while creating Blob,['java.sql.Connection.createBlob']
76,Chaining Strings in Java,['java.lang.String.concat']
77,Combining CompletableFutures into a tree-like Structure,['java.util.concurrent.CompletableFuture.supplyAsync']
78,java timers: how to select + what are the limitations?,['java.lang.System.nanoTime']
79,Convert Point coordinates to Screen coordinates in JavaFX?,['javafx.scene.Node.localToScreen']
80,ImageWriteParam set compression quality not working,['javax.imageio.ImageWriter.write']
81,Java string comparison is not working when concatenated with number,"['java.lang.String.intern', 'java.lang.String.equals']"
82,How do I stop Ant from hanging after executing a java program that attempted to interrupt a thread (and failed) and continued?,"['java.lang.Thread.sleep', 'java.lang.Object.wait', 'java.lang.Thread.interrupted', 'java.lang.Thread.interrupt']"
83,Java Date in hibernate mapping from DB (timezone issue and daylight savings),"['java.util.Calendar.getTime', 'java.util.Calendar.setTime']"
84,Equals method not working well with Throwable,['java.lang.Object.equals']
85,How do I trigger the default signal handling behavior?,['java.lang.System.exit']
86,Thread sleep and thread join,['java.lang.Thread.sleep']
87,Locating resources within a jar package,['java.lang.ClassLoader.getResourceAsStream']
88,Sort JTable as I like,['javax.swing.DefaultRowSorter.setComparator']
89,How to convert binary string value to decimal,['java.lang.Integer.parseInt']
90,Set and get cursor position? JAVA w/ OpenGL,['java.awt.Robot.mouseMove']
91,Convert current datetime to long in Java,['java.lang.System.currentTimeMillis']
92,Java List toArray(T[] a) implementation,['java.util.List.toArray']
93,Most efficient way to order an array of Strings by frequency,['java.util.Collections.sort']
94,Generate MD5 String in java,['java.lang.String.getBytes']
95,How do I remove the blue border highlight that appears when selecting a tab in a JTabbedPane?,['javax.swing.UIManager.setLookAndFeel']
96,"How do I draw squares on top of applications, get coordinates/size of the squares, and check to see if the image beneath the squares has changed?","['java.awt.Robot.createScreenCapture', 'java.awt.image.BufferedImage.getRGB']"
97,How can I use html styles in strings with format arguments?,['java.lang.String.format']
98,Ignore parentheses with string tokenizer?,"['java.lang.String.split', 'java.lang.String.substring']"
99,contains method for list of array of bytes,['java.util.Arrays.equals']
100,Concurrency: Cache Coherence Issue or Compiler Optimization?,['java.io.PrintStream.println']
101,ArrayList desending order using compare method,"['java.util.Collections.reverseOrder', 'java.util.Collections.reverse', 'java.util.Collections.sort']"
102,How to remove extra spaces from arraylist,['java.util.AbstractCollection.toString']
103,Synchronized block - Java,['java.lang.Thread.sleep']
104,Get the last three chars from any string - Java,"['java.lang.String.getChars', 'java.lang.String.substring']"
105,Should this be volatile or is the result unpredictable?,"['java.lang.Thread.interrupted', 'java.lang.Thread.interrupt']"
106,GWT interaction with external standalone application,['java.lang.Runtime.getRuntime']
107,Prevent values going outside a specified range,"['java.lang.Math.max', 'java.lang.Math.min']"
108,How do I remove the A on the top of the JTable inside a JScrollPane?,['javax.swing.table.AbstractTableModel.getColumnName']
109,"Which type safety would have lost, had Generics supported the sub-typing?",['java.lang.Long.reverse']
110,ObjectInputStream won't initialize when using BufferedOutputStreams,['java.io.ObjectOutputStream.flush']
111,How to handle if a sql query finds nothing? Using resultset in java,['java.sql.ResultSet.isBeforeFirst']
112,Can some one please explain what application actually means in this hashcode() contract?,['java.lang.Object.equals']
113,extracting specific but unknown values from a string in Java,['java.util.regex.Matcher.group']
114,working with Swing timer : creating mess,"['java.awt.EventQueue.invokeLater', 'java.awt.EventQueue.invokeAndWait']"
115,Java: Make one item of a jcombobox unselectable(like for a sub-caption) and edit font of that item,"['javax.swing.ComboBoxModel.setSelectedItem', 'javax.swing.ListCellRenderer.getListCellRendererComponent']"
116,AsynchronousServerSocketChannel finally block never executed,"['java.lang.Thread.currentThread', 'java.util.concurrent.package-summary.MemoryVisibility']"
117,Getting location of cell in JXTreeTable,['javax.swing.SwingUtilities.convertRectangle']
118,Java - Vector vs ArrayList performance - test,['java.lang.System.currentTimeMillis']
119,Split string and calculate power of the 2 substrings,"['java.lang.String.split', 'java.util.regex.Pattern.quote']"
120,reading csv file in java start from line3,['java.lang.String.split']
121,Is string interning really useful?,['java.lang.String.intern']
122,How to create a Pattern to find sequences of *.ABS?,['java.lang.String.endsWith']
123,"What happens when I call ""BufferStrategy.show()""?",['java.awt.image.BufferStrategy.show']
124,"Integers.parseint( on scanner input ), also i want to make limits so user can only input number in range from 0 to 100",['java.lang.Integer.parseInt']
125,Java Lambda - finding if any String element of list matches partially with any element of another list,['java.lang.String.contains']
126,Capture screen with mouse pointer using xuggler,['java.awt.MouseInfo.getPointerInfo']
127,Java String to byte conversion is different,['java.lang.Byte.decode']
128,"Take string ""asdxyz\n"" and replace \n with the ascii value",['java.lang.String.replace']
129,Convert Stream to IntStream,['java.lang.Integer.compareTo']
130,Simple For loop - executes too many times IMO,['java.lang.System.lineSeparator']
131,LinkedBlockingQueue - java - queue full,['java.util.concurrent.LinkedBlockingQueue.put']
132,Regex: String.split and Pattern.matches does not agree with each other,['java.util.regex.Pattern.matches']
133,How to check if string matches date pattern using time API?,"['java.time.format.DateTimeFormatter.parseUnresolved', 'java.time.LocalDate.from', 'java.time.format.DateTimeFormatter.parse']"
134,How to add the value of a array into a ArrayList in stead of the location of that array?,"['java.util.Arrays.copyOf', 'java.lang.System.arraycopy']"
135,"Reading from URL, store data as double?",['java.lang.Double.parseDouble']
136,Converting a sentence string to a string array of words in Java,"['java.text.BreakIterator.getWordInstance', 'java.lang.String.split']"
137,How to avoid hard code full path in Paths#get method,['java.nio.file.Paths.get']
138,Garbage collector not working in java?,['java.lang.System.gc']
139,Append a LinkedHashSet to a TextArea line by line in Java 8,"['java.lang.String.join', 'java.lang.System.lineSeparator']"
140,RSA SHA256 signing in iOS and verification on Java,['java.security.Signature.sign']
141,Java - Looping Number Strings,['javax.swing.JOptionPane.showMessageDialog']
142,Access stacktraces with good performance?,['java.lang.Thread.currentThread']
143,Prevent multiple asynchronous calls from being in flight simultaneously without blocking,['java.lang.Thread.currentThread']
144,Erlang Process vs Java Thread,"['java.lang.Thread.stop', 'java.lang.Math.random', 'java.lang.Thread.setDaemon', 'java.lang.Thread.run']"
145,"What is the new way of getting all methods of a class, including inherited default methods of Java 8?",['java.lang.Class.getMethods']
146,"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL?","['java.lang.Thread.currentThread', 'java.lang.Class.forName']"
147,Use Apache CSVParser get number not in scientific notation,['java.lang.Double.parseDouble']
148,Set JLabel Visible when JButton is clicked in actionPerformed,['javax.swing.SwingUtilities.invokeLater']
149,Invoking toString via method reference in Java 8,['java.util.Arrays.asList']
150,Why does the toString method in java not seem to work for an array,"['java.lang.Object.toString', 'java.util.Arrays.toString']"
151,Converting ArrayList<Integer> into int[] won't work in Java,['java.util.Arrays.toString']
152,Closing the Selector when server is shutting down,"['java.nio.channels.Selector.isOpen', 'java.nio.channels.Selector.close']"
153,Memory Address as Hash in HashTable. Why can't HasTable use actual memory address of the Key as Hash?,['java.lang.Object.hashCode']
154,Why does parseInt warn of using valueOf,['java.lang.Integer.valueOf']
155,"Java SimpleDateFormat returning null, but only on second call","['java.text.SimpleDateFormat.parse', 'java.text.DateFormat.parse']"
156,SimpleDateFormat format wrong values,['java.sql.Date.Date']
157,JAVA - Binary search - return index of key,"['java.lang.String.compareTo', 'java.util.Arrays.sort']"
158,Class cast exception from Double to double,"['java.lang.Class.isInstance', 'java.lang.Double.doubleValue', 'java.lang.Integer.intValue']"
159,Executing external programs via commandline in a Grails application,['java.lang.Runtime.exec']
160,A good method for conflating queue entries,"['java.util.HashMap.put', 'java.util.Collections.synchronizedMap']"
161,Double floating-point precision in Java,['java.lang.Math.round']
162,Processing backspace in Java Swing,['javax.swing.event.DocumentListener.removeUpdate']
163,Adding JPanels to regions other than CENTER,['javax.swing.JComponent.setPreferredSize']
164,Why do System.nanoTime() and System.currentTimeMillis() drift apart so rapidly?,"['java.lang.System.currentTimeMillis', 'java.lang.System.nanoTime']"
165,Get a related class via signature java,['java.lang.Class.forName']
166,Should Swing GUI application be controlled from Event Dispatcher or main thread?,['java.awt.EventQueue.invokeLater']
167,Is there a safe way to make a HashSet<int[]> without manually wrapping it in another object?,['java.util.Collections.synchronizedSet']
168,"Enum.valueOf(Class<T> enumType, String name) question","['java.lang.Class.getEnumConstants', 'java.lang.Enum.valueOf']"
169,What is the difference between append and write methods of java.io.writer?,['java.io.Writer.append']
170,What condition does while(true) test? When is it true and false?,['java.lang.System.exit']
171,how come Thread class called inside another class?,['java.lang.Thread.sleep']
172,Sorting based on value of object,['java.util.Arrays.sort']
173,Simple calculate using inheritance and Scanner how i handle these Exceptions?,"['java.util.Scanner.nextShort', 'java.util.Scanner.hasNext']"
174,How to timeout a thread,"['java.lang.Runnable.run', 'java.util.concurrent.Callable.call', 'java.lang.Thread.sleep', 'java.lang.Thread.interrupted', 'java.util.concurrent.Executors.newCachedThreadPool', 'java.util.concurrent.Future.get']"
175,How to remove all null elements from a ArrayList or String Array?,"['java.util.Collections.singleton', 'java.util.Arrays.asList']"
176,How to eliminate repeat code in a for-loop?,['java.util.Collections.synchronizedList']
177,Regex pattern for string not bounded by character,['java.util.regex.Pattern.special']
178,Alternative for deprecated GWT Textbox setKey(char) method,['java.lang.String.toUpperCase']
179,How do I generate a 160 bit prime number in java?,['java.math.BigInteger.probablePrime']
180,sorting positive integers in unsorted array,"['java.util.Arrays.copyOf', 'java.util.Collections.sort', 'java.util.Arrays.binarySearch', 'java.util.Arrays.sort']"
181,JTree of object type displays some properties of the object but returns the whole object when selected,['javax.swing.tree.TreePath.getLastPathComponent']
182,Node array toString Java,['java.util.Arrays.deepToString']
183,"In Java, get all weekend dates in a given month",['java.time.temporal.TemporalAdjuster.is']
184,storing string in an integer array.,['java.lang.Integer.parseInt']
185,What could lead to the creation of false EOF in a GZip compressed data stream,['org.omg.CORBA.portable.InputStream.read']
186,Can one compare java.lang.Class objects with == in Java?,['java.lang.Class.isAssignableFrom']
187,How to fill the contents of a dynamic array with a constant data,['java.util.Arrays.fill']
188,Java String to enum,['java.lang.Enum.valueOf']
189,Java Generics : Is any meta information about the generic type preserved at runtime as well?,"['java.lang.Class.newInstance', 'java.lang.Class.getGenericSuperclass']"
190,Would there be a cleaner/better way to write this,['java.lang.Integer.valueOf']
191,How to set nice float value using Apache POI?,['java.math.BigDecimal.setScale']
192,Controlling thread using wait() and notify(),['java.util.concurrent.Executors.newSingleThreadExecutor']
193,How can i get Class from Generic Type,['java.lang.Class.forName']
194,JList adding and removing items (Netbeans),['javax.swing.DefaultListModel.addElement']
195,Random integers - Both positive and negative,['java.util.Random.nextInt']
196,Insertion sort with an array of objects?,['java.lang.Comparable.compareTo']
197,ArrayIndexOutOfBoundsException error but I think the code is okay,['java.sql.ResultSet.getObject']
198,"java.lang.NumberFormatException: For input string: ""null""",['java.lang.Float.valueOf']
199,Sharing Components with multiple containers,['javax.swing.JComponent.setComponentPopupMenu']
200,How JVM executes math calculations faster second time onwards?,['java.lang.Math.log']
201,JList resize after add element,['javax.swing.JList.setPrototypeCellValue']
202,Any way to convert Java constants in a Constants class to an iterative form in another?,['java.lang.Class.getFields']
203,can marker interface like serializable contain default methods?,['java.lang.Class.isAssignableFrom']
204,Delete all files not modified in last ten days,"['java.util.Calendar.getTimeInMillis', 'java.io.File.lastModified']"
205,Large amount of constants in Java,"['java.lang.ClassLoader.getResourceAsStream', 'java.lang.Class.getResourceAsStream']"
206,java performance degrading due to arraylist of size more than 6000,['java.lang.System.nanoTime']
207,"How do i search through an XML file in Java, and then output the XML files names?","['java.io.BufferedReader.readLine', 'org.w3c.dom.Node.getNodeValue', 'org.w3c.dom.Document.getElementsByTagName', 'org.xml.sax.helpers.XMLReaderFactory.createXMLReader']"
208,Find a complete word in a string java,['java.lang.String.split']
209,Any simple Java way to pass parts of a hashmap to another hashmap?,['java.lang.Integer.valueOf']
210,LocalDateTime.parse() with a pattern only numbers,['java.time.format.DateTimeFormatterBuilder.appendValue']
211,Dependency Determination in Runtime,['java.lang.Class.forName']
212,How to compare two calendars to check if the event happened today?,['java.util.Calendar.get']
213,How to get float from unsigned bytes in Java?,['java.lang.Float.intBitsToFloat']
214,Process.waitFor hangs even though stdout and stderr get read,['java.lang.Process.waitFor']
215,Transferring file in client-server program but all bytes not being transmitted,['java.nio.file.Files.copy']
216,read element from an array in java,"['java.lang.reflect.Array.get', 'java.lang.reflect.Array.getLength']"
217,What method should I use to replace text within a String,"['java.lang.String.replace', 'java.lang.String.replaceAll']"
218,How to modify a Collection while iterating using for-each loop without ConcurrentModificationException?,['java.util.Iterator.remove']
219,Why does casting based on Class.class work but not getClass?,"['java.lang.Class.cast', 'java.lang.Object.getClass']"
220,"StringBuilder appends null as ""null""","['java.lang.StringBuilder.append', 'java.lang.String.valueOf']"
221,Can i remove an element while enumerating through a Properties object?,"['java.util.Map.entrySet', 'java.util.Set.iterator', 'java.util.Iterator.remove']"
222,Java: Run Script After Timed Interval,"['java.lang.System.currentTimeMillis', 'java.lang.Thread.sleep']"
223,new object is created or not?,"['java.lang.String.intern', 'java.lang.Integer.valueOf']"
224,How to split file content line by line and save to List,['java.nio.file.Files.lines']
225,JIT Optimization and Weak References,['java.util.Collections.sort']
226,"Java program crashes, when giving a decimal point, but works with int","['java.lang.Double.parseDouble', 'java.lang.Float.parseFloat']"
227,"Deleting a file, opended by an external application, after closing it",['java.io.File.createTempFile']
228,Best way to convert Java SQL Date from yyyy-MM-dd to dd MMMM yyyy format,"['java.sql.PreparedStatement.setObject', 'java.sql.Date.toLocalDate', 'java.sql.ResultSet.getObject']"
229,How to merge multiple (arbitrary number of) Set<String> into one in Java?,['java.util.Set.addAll']
230,Multithreading program not working,['java.lang.Thread.sleep']
231,Can't cast gson to my Object type,['java.util.Arrays.asList']
232,Using Enum's ordinal value in switch-case statement,['java.lang.Enum.valueOf']
233,Pass An Array as Argument Having a Different Start Index,['java.util.List.subList']
234,Test console output using JUnit,['java.lang.System.exit']
235,Compilaton error when creating a deck of cards,['java.lang.Object.toString']
236,How to implement a ServiceLocator with generics?,['java.lang.Class.cast']
237,clear() impl in Java's LinkedList,['java.util.Collections.unmodifiableList']
238,JMenuItem shortcuts Ctrl-C / Ctrl-V or Ctrl-Insert / Shift-Insert don't work anymore,['javax.swing.SwingUtilities.invokeLater']
239,Exit Conflicts in Java GUI,"['java.lang.System.exit', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.awt.Window.dispose']"
240,Java fast atoi using byte[],['java.lang.String.String']
241,Getting a range of data from infinite time series,['java.util.TreeMap.subMap']
242,Difference between System.exit(int code) and Runtime.getRuntime().exit(int code),"['java.lang.System.exit', 'java.lang.Runtime.exit', 'java.lang.Runtime.getRuntime']"
243,Getting wrong output in PreparedStatement,"['java.sql.Statement.executeQuery', 'java.sql.PreparedStatement.executeQuery', 'java.sql.Statement.setMaxRows']"
244,Removing a part of a string before second /,['java.lang.String.indexOf']
245,How can I print the average of the lines in this file?,['java.lang.Double.parseDouble']
246,Why is String.intern() a native method?,['java.lang.String.intern']
247,How do I pause main() until all other threads have died?,['java.util.concurrent.ExecutorService.invokeAll']
248,OpenGL ES rendereing error,['java.nio.ByteBuffer.allocateDirect']
249,Java - Thread safety of ArrayList constructors,['java.lang.System.arraycopy']
250,Java Math.Pow method,['java.lang.Math.pow']
251,How to get a caller class of a method,"['java.lang.Thread.getStackTrace', 'java.lang.Thread.currentThread', 'java.lang.Throwable.getStackTrace', 'java.lang.StackTraceElement.getClassName']"
252,How do I get the array method to give me the correct output?,['java.util.Arrays.copyOfRange']
253,How to hide cursor in a Swing application?,"['java.awt.Cursor.getDefaultCursor', 'java.awt.Toolkit.createCustomCursor', 'java.lang.System.setProperty']"
254,Iterable as a return type,['java.util.ArrayList.iterator']
255,Android if statement - if a string contains any of the strings from an array,['java.util.Arrays.asList']
256,Immutability of Strings in Java,['java.lang.String.replace']
257,Apache HttpClient: Limit total calls per second,['java.util.concurrent.ScheduledThreadPoolExecutor.schedule']
258,Java-8 Stream returned by .map will be parallel or sequential?,"['java.util.stream.IntStream.range', 'java.util.stream.BaseStream.parallel', 'java.util.stream.BaseStream.sequential']"
259,I don't know why my image is not showing on the frame,['javax.imageio.ImageIO.read']
260,How to disable 'renaming' a file in java?,['java.lang.Runtime.exec']
261,Postgresql could not accept SSL connection: sslv3 alert certificate unknown,['java.lang.System.setProperty']
262,Are these classes thread-safe?,['java.lang.Runnable.run']
263,Sorting ArrayList<ArrayList<String>> as row fields,['java.util.Collections.sort']
264,How to convert date and time to est format in android?,['java.util.TimeZone.getTimeZone']
265,how to set the file path in java,['javax.imageio.ImageIO.write']
266,How does a Dialog View integrate with its Activity's view Hierarchy,['java.awt.Dialog.show']
267,Having trouble reading files in java,['java.lang.String.matches']
268,"java, System.loadlibrary(""someDLLFile"") gets unstatisfied link error","['java.lang.System.loadLibrary', 'java.lang.System.load']"
269,Overriding JButton paintComponent with transparency not showing back panel color,['javax.swing.SwingUtilities.getWindowAncestor']
270,Alternative for ZonedDateTime and ChronoUnit to be used in JDK 7,['java.time.temporal.ChronoUnit.SECONDS']
271,Print 2d String array by column,"['java.util.Arrays.stream', 'java.util.Arrays.sort']"
272,What should Timertask.scheduleAtFixedRate do if the clock changes?,"['java.util.concurrent.Executors.newScheduledThreadPool', 'java.lang.System.currentTimeMillis', 'java.lang.System.nanoTime']"
273,How to generate a random permutation in Java?,['java.util.Collections.shuffle']
274,How to accept null JTextField in java?,['java.lang.Double.parseDouble']
275,Sort files by name in Java differs from Windows Explorer,['java.util.Arrays.sort']
276,Java - Ignore case checking user input,['java.lang.String.equalsIgnoreCase']
277,"How do IDE's ""know"" when an object needs to be in a try/catch block?",['java.sql.DriverManager.getConnection']
278,Java applet from jar,"['java.lang.ClassLoader.getResource', 'java.lang.Class.getClassLoader']"
279,How can I sort ResultSet in java?,['java.util.Collections.sort']
280,Convert string into two dimensional string array in Java,"['java.lang.String.split', 'java.util.Arrays.deepToString', 'java.util.Arrays.deepEquals']"
281,How can I convert a BufferedImage object into an InputStream or a BLOB?,"['java.awt.image.BufferedImage.getRGB', 'javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
282,Getting double values out of a jtable,"['java.lang.Double.parseDouble', 'java.lang.String.valueOf']"
283,Convert array into array from absolute values only,"['java.lang.Math.sqrt', 'java.lang.Math.abs']"
284,Java: Retrieving an element from a HashSet,['java.util.Set.iterator']
285,Using Java reflection to create eval() method,"['java.lang.Class.getDeclaredMethods', 'java.lang.Class.getMethods']"
286,"Use a for loop to pick single digit numbers, and concatenate them together to form a String in java","['java.lang.Math.random', 'java.lang.Integer.toString']"
287,How spring JdbcTemplate recognizes data types?,"['java.sql.PreparedStatement.setString', 'java.sql.PreparedStatement.setTimestamp', 'java.sql.PreparedStatement.setObject']"
288,"If Java's http proxy is down, it reverts to non-proxy",['java.net.ProxySelector.setDefault']
289,Catching system default editor closing event in java,"['java.lang.Runtime.exec', 'java.lang.Process.waitFor']"
290,Joda-Time: convert SimpleDateFormat pattern to DateTimeFormat.forPattern,"['java.time.Instant.parse', 'java.time.OffsetDateTime.parse', 'java.sql.Timestamp.from']"
291,Java 8 reduce BinaryOperator what is used for?,"['java.util.stream.package-summary.Associativity', 'java.util.stream.Stream.reduce']"
292,Connecting to MongoDb with SSL from JAVA app,['java.lang.System.setProperty']
293,Set all values of ArrayList<Boolean> to false on instatiation,"['java.util.Collections.fill', 'java.util.Arrays.fill', 'java.util.Collections.nCopies']"
294,How InputStream's read() method is implemented?,['java.io.InputStream.read']
295,How can i parse this using StringUtils or Regular Expression,"['java.util.regex.Matcher.group', 'java.util.regex.Pattern.cg']"
296,how to resolve java.lang.string cannot be cast to java.lang.integer android with xml parser,['java.lang.Integer.parseInt']
297,How I can make the JTable ignore the enter key?,['javax.swing.KeyStroke.getKeyStroke']
298,How to sum minutes in array if their format is string?,"['java.lang.Integer.valueOf', 'java.lang.String.split', 'java.lang.Integer.parseInt', 'java.lang.String.substring']"
299,Why use Long.valueOf(...) rather than a long literal?,['java.lang.Long.valueOf']
300,How to programmatically test if assertions are enabled?,['java.lang.Class.desiredAssertionStatus']
301,Loading all images from folder & make named Images from them,['java.io.File.listFiles']
302,Default Button after dispose and setVisible,"['javax.swing.JButton.removeNotify', 'javax.swing.JComponent.removeNotify']"
303,Randomize when something happens,['java.util.Random.nextInt']
304,JDBC returns an empty ResultSet (rs.isBeforeFirst() == true) although the table isn't empty,['java.sql.ResultSet.isBeforeFirst']
305,Java - Key Events and Key Binds,['java.awt.Frame.getState']
306,How to list numbers after sorting in java,"['java.util.Collections.reverse', 'java.util.Collections.sort']"
307,How to reduce the time delay to reach run method of Runnable class using ExecutorService Java,['java.util.concurrent.Executors.newFixedThreadPool']
308,How to get the dynamic port number in Java for Socket client,['java.net.Socket.getLocalPort']
309,Java concatenate strings vs static strings,"['java.lang.String.intern', 'java.lang.String.format']"
310,Java URL with relative address,['java.lang.Class.getResource']
